DateTime vs Times   pap
Start Time:  Mar 01 2012 00:00:00.000
End Time:  Mar 30 2012 00:00:00.000
Flavor:  Chocolate
Thing 1:  Yes
Thing 2:  Yes

         Date/Time                Value 1.           Value 2.
           (UTC)                   (sec)               (m)
   03/25/2012 19:43:56.650     483.291999903   -1599.537798459
   03/25/2012 21:22:49.857     483.300000010   -1516.463823374
   03/25/2012 23:01:43.083     483.333999838   -3034.160547193
   03/26/2012 00:40:36.219     483.365999954   -2610.559554417
   03/26/2012 02:19:29.334     483.383999881   -1921.390197283
   03/26/2012 03:58:22.429     483.406999719   -1165.019748308
   03/26/2012 05:37:15.617     483.429000014   -2606.483519468
   03/26/2012 07:16:08.834     483.446999942   -2891.620720725
   03/26/2012 08:55:02.095     483.472999977   -2218.301862566
   03/26/2012 10:33:55.284     483.492999931   -1568.215393604
   03/26/2012 12:12:48.438     483.499000012   -1543.518520691
   03/26/2012 13:51:41.587     483.534000011   -3029.646249180
   03/26/2012 15:30:34.667     483.562000073   -2581.126736465
   03/26/2012 17:09:27.790     483.581000171   -1894.990587112
   03/26/2012 18:48:20.898     483.604000008   -1149.263354042
   03/26/2012 20:27:14.116     483.625000133   -2630.357955994
   03/26/2012 22:06:07.318     483.645999944   -2866.858042540
   03/26/2012 23:45:00.470     483.671999979   -2183.602225468
   03/27/2012 01:23:53.600     483.691000077   -1531.775723120
   03/27/2012 03:02:46.707     483.697000158   -1577.969189636
   03/27/2012 04:41:39.859     483.732000156   -3019.570625054
   03/27/2012 06:20:33.029     483.759000048   -2547.998113098
   03/27/2012 07:59:26.272     483.779000002   -1863.193120077
   03/27/2012 09:38:19.503     483.802000154   -1132.330150018
   03/27/2012 11:17:12.730     483.825999848   -2651.062094363
   03/27/2012 12:56:05.855     483.848999999   -2843.545940433
   03/27/2012 14:34:58.919     483.875999891   -2151.885361574
   03/27/2012 16:13:51.997     483.892999962   -1499.287852209
   03/27/2012 17:52:45.144     483.895999845   -1612.395466901
   03/27/2012 19:31:38.308     483.932000014   -3009.490492776
   03/27/2012 21:10:31.499     483.959000220   -2513.911123416
   03/27/2012 22:49:24.665     483.980999887   -1829.202765652
   03/28/2012 00:28:17.799     484.004000039   -1117.544730708
   03/28/2012 02:07:10.973     484.028999903   -2677.663373486
   03/28/2012 03:46:04.065     484.049000172   -2815.126061772
   03/28/2012 05:24:57.175     484.074000036   -2116.754857660
   03/28/2012 07:03:50.358     484.089000081   -1463.910933925
   03/28/2012 08:42:43.622     484.091999964   -1645.847241101
   03/28/2012 10:21:36.863     484.131000016   -2997.014700147
   03/28/2012 12:00:30.010     484.161999961   -2482.890004759
   03/28/2012 13:39:23.090     484.181999916   -1799.838728083
   03/28/2012 15:18:16.156     484.203000041   -1106.711891375
   03/28/2012 16:57:09.317     484.225999878   -2702.922738476
   03/28/2012 18:36:02.433     484.249000030   -2789.747272620
   03/28/2012 20:14:55.574     484.271000011   -2081.374013874
   03/28/2012 21:53:48.756     484.290999966   -1426.133587123
   03/28/2012 23:32:41.909     484.291999822   -1683.106796719
   03/29/2012 01:11:35.085     484.333999758   -2981.357732926
   03/29/2012 02:50:28.182     484.363999846   -2442.635807197
   03/29/2012 04:29:21.260     484.381000232   -1761.071468231
   03/29/2012 06:08:14.411     484.400999872   -1095.242078695
   03/29/2012 07:47:07.695     484.424000024   -2718.465456174
   03/29/2012 09:26:00.936     484.449000203   -2758.891257858
   03/29/2012 11:04:54.101     484.473000211   -2045.730744178
   03/29/2012 12:43:47.214     484.494000021   -1388.888359747
   03/29/2012 14:22:40.286     484.492999851   -1719.917638664
   03/29/2012 16:01:33.412     484.536000271   -2900.409862754
   03/29/2012 17:40:26.545     484.564000019   -2407.000413207
   03/29/2012 19:19:19.627     484.582999803   -1726.412237208
   03/29/2012 20:58:12.803     484.601000044   -1084.487143534
   03/29/2012 22:37:06.027     484.625000053   -2732.437652608
   03/30/2012 00:15:59.165     484.653000114   -2727.428392771
